2025-05-27 19:00:45,848 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=401, MaxR=21.70, Pheno={'G_SPECIALIST': 401, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:45,875 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=422, MaxR=22.65, Pheno={'G_SPECIALIST': 422, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:45,901 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=440, MaxR=22.65, Pheno={'G_SPECIALIST': 440, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:45,931 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=469, MaxR=23.43, Pheno={'G_SPECIALIST': 469, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:45,962 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=500, MaxR=25.16, Pheno={'G_SPECIALIST': 500, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:45,995 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=535, MaxR=27.22, Pheno={'G_SPECIALIST': 535, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,032 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=586, MaxR=27.87, Pheno={'G_SPECIALIST': 586, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,070 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=613, MaxR=27.87, Pheno={'G_SPECIALIST': 613, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,112 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=670, MaxR=29.60, Pheno={'G_SPECIALIST': 670, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,149 - sim.BetHedging0.5_W80_Rep2 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=707
2025-05-27 19:00:46,158 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=712, MaxR=30.64, Pheno={'G_SPECIALIST': 712, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,212 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=751, MaxR=31.32, Pheno={'G_SPECIALIST': 751, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,266 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=798, MaxR=31.32, Pheno={'G_SPECIALIST': 798, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,321 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=844, MaxR=32.45, Pheno={'G_SPECIALIST': 844, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,376 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=891, MaxR=33.05, Pheno={'G_SPECIALIST': 891, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,434 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=933, MaxR=34.77, Pheno={'G_SPECIALIST': 933, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,496 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=984, MaxR=34.77, Pheno={'G_SPECIALIST': 984, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,558 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=1023, MaxR=35.54, Pheno={'G_SPECIALIST': 1023, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,626 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=1074, MaxR=35.54, Pheno={'G_SPECIALIST': 1074, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,696 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=1111, MaxR=37.51, Pheno={'G_SPECIALIST': 1111, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
