2025-05-27 19:47:09,192 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=1415, MaxR=41.39, Pheno={'G_SPECIALIST': 1408, 'SWITCHING_GL': 7, 'L_SPECIALIST': 0}
2025-05-27 19:47:09,288 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=1474, MaxR=41.39, Pheno={'G_SPECIALIST': 1462, 'SWITCHING_GL': 12, 'L_SPECIALIST': 0}
2025-05-27 19:47:09,371 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=1515
2025-05-27 19:47:09,387 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=1518, MaxR=41.57, Pheno={'G_SPECIALIST': 1499, 'SWITCHING_GL': 19, 'L_SPECIALIST': 0}
2025-05-27 19:47:09,489 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=1575, MaxR=41.57, Pheno={'G_SPECIALIST': 1554, 'SWITCHING_GL': 20, 'L_SPECIALIST': 1}
2025-05-27 19:47:09,592 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1614, MaxR=41.68, Pheno={'G_SPECIALIST': 1585, 'SWITCHING_GL': 28, 'L_SPECIALIST': 1}
2025-05-27 19:47:09,699 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1657, MaxR=41.68, Pheno={'G_SPECIALIST': 1622, 'SWITCHING_GL': 32, 'L_SPECIALIST': 3}
2025-05-27 19:47:09,808 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1691, MaxR=41.68, Pheno={'G_SPECIALIST': 1651, 'SWITCHING_GL': 34, 'L_SPECIALIST': 6}
2025-05-27 19:47:09,919 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1728, MaxR=41.68, Pheno={'G_SPECIALIST': 1682, 'SWITCHING_GL': 35, 'L_SPECIALIST': 11}
2025-05-27 19:47:10,033 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=66.00: Cells=1770, MaxR=41.68, Pheno={'G_SPECIALIST': 1719, 'SWITCHING_GL': 39, 'L_SPECIALIST': 12}
2025-05-27 19:47:10,149 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=67.00: Cells=1800, MaxR=42.04, Pheno={'G_SPECIALIST': 1743, 'SWITCHING_GL': 42, 'L_SPECIALIST': 15}
2025-05-27 19:47:10,268 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=68.00: Cells=1825, MaxR=42.46, Pheno={'G_SPECIALIST': 1760, 'SWITCHING_GL': 46, 'L_SPECIALIST': 19}
2025-05-27 19:47:10,386 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=69.00: Cells=1850, MaxR=42.57, Pheno={'G_SPECIALIST': 1778, 'SWITCHING_GL': 49, 'L_SPECIALIST': 23}
2025-05-27 19:47:10,487 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1 - INFO - simulation_engine:218 - Progress: T=70.00, Cells=1874
2025-05-27 19:47:10,508 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=70.00: Cells=1878, MaxR=44.23, Pheno={'G_SPECIALIST': 1796, 'SWITCHING_GL': 51, 'L_SPECIALIST': 31}
2025-05-27 19:47:10,635 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=71.00: Cells=1919, MaxR=44.23, Pheno={'G_SPECIALIST': 1826, 'SWITCHING_GL': 55, 'L_SPECIALIST': 38}
2025-05-27 19:47:10,762 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=72.00: Cells=1941, MaxR=44.23, Pheno={'G_SPECIALIST': 1844, 'SWITCHING_GL': 51, 'L_SPECIALIST': 46}
2025-05-27 19:47:10,899 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=73.00: Cells=1972, MaxR=44.23, Pheno={'G_SPECIALIST': 1862, 'SWITCHING_GL': 57, 'L_SPECIALIST': 53}
2025-05-27 19:47:11,036 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=74.00: Cells=1995, MaxR=44.23, Pheno={'G_SPECIALIST': 1875, 'SWITCHING_GL': 59, 'L_SPECIALIST': 61}
2025-05-27 19:47:11,167 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=75.00: Cells=2022, MaxR=45.40, Pheno={'G_SPECIALIST': 1886, 'SWITCHING_GL': 65, 'L_SPECIALIST': 71}
2025-05-27 19:47:11,303 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=76.00: Cells=2038, MaxR=45.40, Pheno={'G_SPECIALIST': 1893, 'L_SPECIALIST': 81, 'SWITCHING_GL': 64}
2025-05-27 19:47:11,434 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=77.00: Cells=2053, MaxR=45.40, Pheno={'G_SPECIALIST': 1898, 'L_SPECIALIST': 88, 'SWITCHING_GL': 67}
2025-05-27 19:47:11,566 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=78.00: Cells=2074, MaxR=46.60, Pheno={'G_SPECIALIST': 1906, 'L_SPECIALIST': 98, 'SWITCHING_GL': 70}
2025-05-27 19:47:11,698 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=79.00: Cells=2096, MaxR=46.70, Pheno={'G_SPECIALIST': 1916, 'L_SPECIALIST': 112, 'SWITCHING_GL': 68}
2025-05-27 19:47:11,811 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1 - INFO - simulation_engine:218 - Progress: T=80.00, Cells=2106
2025-05-27 19:47:11,833 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=80.00: Cells=2107, MaxR=46.70, Pheno={'G_SPECIALIST': 1918, 'L_SPECIALIST': 124, 'SWITCHING_GL': 65}
2025-05-27 19:47:11,969 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=81.00: Cells=2125, MaxR=46.70, Pheno={'G_SPECIALIST': 1922, 'L_SPECIALIST': 142, 'SWITCHING_GL': 61}
2025-05-27 19:47:12,109 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=82.00: Cells=2152, MaxR=47.09, Pheno={'G_SPECIALIST': 1926, 'L_SPECIALIST': 162, 'SWITCHING_GL': 64}
2025-05-27 19:47:12,253 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=83.00: Cells=2166, MaxR=48.12, Pheno={'G_SPECIALIST': 1930, 'L_SPECIALIST': 181, 'SWITCHING_GL': 55}
2025-05-27 19:47:12,391 - sim.TradeoffSlope_S10_BetHedging0.5_W40_Rep1.MetricsCollector - INFO - metrics:177 - Metrics @ T=84.00: Cells=2185, MaxR=48.12, Pheno={'G_SPECIALIST': 1932, 'L_SPECIALIST': 201, 'SWITCHING_GL': 52}
