2025-05-27 18:51:59,159 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=585, MaxR=28.35, Pheno={'G_SPECIALIST': 585, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,197 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=622, MaxR=29.14, Pheno={'G_SPECIALIST': 622, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,230 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=644
2025-05-27 18:51:59,238 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=647, MaxR=29.14, Pheno={'G_SPECIALIST': 647, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,281 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=680, MaxR=29.55, Pheno={'G_SPECIALIST': 680, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,327 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=713, MaxR=30.45, Pheno={'G_SPECIALIST': 713, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,374 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=753, MaxR=30.45, Pheno={'G_SPECIALIST': 753, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,430 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=799, MaxR=31.18, Pheno={'G_SPECIALIST': 799, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,483 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=849, MaxR=33.45, Pheno={'G_SPECIALIST': 849, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,538 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=888, MaxR=34.60, Pheno={'G_SPECIALIST': 888, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,594 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=918, MaxR=34.60, Pheno={'G_SPECIALIST': 918, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,653 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=955, MaxR=34.60, Pheno={'G_SPECIALIST': 955, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,715 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=997, MaxR=34.60, Pheno={'G_SPECIALIST': 997, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,769 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1028
