2025-05-27 18:42:24,891 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=810, MaxR=33.00, Pheno={'G_SPECIALIST': 810, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:24,944 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=850, MaxR=36.00, Pheno={'G_SPECIALIST': 850, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,001 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=902, MaxR=36.04, Pheno={'G_SPECIALIST': 902, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,051 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=948
2025-05-27 18:42:25,060 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=950, MaxR=36.17, Pheno={'G_SPECIALIST': 950, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,121 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=987, MaxR=36.17, Pheno={'G_SPECIALIST': 987, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,189 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1028, MaxR=37.51, Pheno={'G_SPECIALIST': 1028, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,257 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1074, MaxR=39.04, Pheno={'G_SPECIALIST': 1074, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,327 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1121, MaxR=39.04, Pheno={'G_SPECIALIST': 1121, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,400 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1163, MaxR=39.04, Pheno={'G_SPECIALIST': 1163, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:42:25,477 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=66.00: Cells=1211, MaxR=40.58, Pheno={'G_SPECIALIST': 1209, 'SWITCHING_GL': 2, 'L_SPECIALIST': 0}
2025-05-27 18:42:25,556 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=67.00: Cells=1261, MaxR=40.95, Pheno={'G_SPECIALIST': 1258, 'SWITCHING_GL': 3, 'L_SPECIALIST': 0}
2025-05-27 18:42:25,643 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=68.00: Cells=1307, MaxR=41.24, Pheno={'G_SPECIALIST': 1302, 'SWITCHING_GL': 5, 'L_SPECIALIST': 0}
2025-05-27 18:42:25,730 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=69.00: Cells=1350, MaxR=41.24, Pheno={'G_SPECIALIST': 1344, 'SWITCHING_GL': 6, 'L_SPECIALIST': 0}
2025-05-27 18:42:25,808 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=70.00, Cells=1387
2025-05-27 18:42:25,823 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=70.00: Cells=1391, MaxR=41.24, Pheno={'G_SPECIALIST': 1385, 'SWITCHING_GL': 6, 'L_SPECIALIST': 0}
2025-05-27 18:42:25,917 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=71.00: Cells=1443, MaxR=41.24, Pheno={'G_SPECIALIST': 1434, 'SWITCHING_GL': 8, 'L_SPECIALIST': 1}
2025-05-27 18:42:26,027 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=72.00: Cells=1494, MaxR=41.61, Pheno={'G_SPECIALIST': 1482, 'SWITCHING_GL': 11, 'L_SPECIALIST': 1}
2025-05-27 18:42:26,149 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=73.00: Cells=1547, MaxR=41.61, Pheno={'G_SPECIALIST': 1530, 'SWITCHING_GL': 14, 'L_SPECIALIST': 3}
2025-05-27 18:42:26,264 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=74.00: Cells=1604, MaxR=41.61, Pheno={'G_SPECIALIST': 1583, 'SWITCHING_GL': 17, 'L_SPECIALIST': 4}
2025-05-27 18:42:26,373 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=75.00: Cells=1647, MaxR=41.61, Pheno={'G_SPECIALIST': 1623, 'SWITCHING_GL': 20, 'L_SPECIALIST': 4}
