2025-05-27 19:50:08,007 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=30.00: Cells=401, MaxR=22.91, Pheno={'G_SPECIALIST': 401, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,033 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=425, MaxR=24.25, Pheno={'G_SPECIALIST': 425, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,062 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=451, MaxR=25.63, Pheno={'G_SPECIALIST': 451, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,093 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=498, MaxR=25.63, Pheno={'G_SPECIALIST': 498, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,126 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=534, MaxR=27.50, Pheno={'G_SPECIALIST': 534, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,162 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=571, MaxR=27.50, Pheno={'G_SPECIALIST': 571, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,199 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=601, MaxR=28.83, Pheno={'G_SPECIALIST': 601, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,239 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=633, MaxR=28.83, Pheno={'G_SPECIALIST': 633, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,280 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=662, MaxR=28.83, Pheno={'G_SPECIALIST': 662, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,324 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=690, MaxR=30.79, Pheno={'G_SPECIALIST': 690, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,368 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=718
2025-05-27 19:50:08,376 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=721, MaxR=31.22, Pheno={'G_SPECIALIST': 721, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,425 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=757, MaxR=33.41, Pheno={'G_SPECIALIST': 757, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,476 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=800, MaxR=33.41, Pheno={'G_SPECIALIST': 800, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,530 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=835, MaxR=35.37, Pheno={'G_SPECIALIST': 835, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,587 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=864, MaxR=36.66, Pheno={'G_SPECIALIST': 864, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,645 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=907, MaxR=36.66, Pheno={'G_SPECIALIST': 907, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,704 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=955, MaxR=37.59, Pheno={'G_SPECIALIST': 955, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,766 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=1009, MaxR=38.69, Pheno={'G_SPECIALIST': 1009, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,832 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=1048, MaxR=38.69, Pheno={'G_SPECIALIST': 1048, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,902 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=1089, MaxR=38.69, Pheno={'G_SPECIALIST': 1089, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:08,961 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1129
2025-05-27 19:50:08,972 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1131, MaxR=38.69, Pheno={'G_SPECIALIST': 1131, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:50:09,051 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1192, MaxR=40.36, Pheno={'G_SPECIALIST': 1191, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
