2025-05-27 19:42:18,506 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=31.00: Cells=399, MaxR=25.87, Pheno={'G_SPECIALIST': 399, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,534 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=32.00: Cells=434, MaxR=27.50, Pheno={'G_SPECIALIST': 434, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,570 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=33.00: Cells=477, MaxR=27.87, Pheno={'G_SPECIALIST': 477, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,604 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=34.00: Cells=509, MaxR=30.45, Pheno={'G_SPECIALIST': 509, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,641 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=35.00: Cells=557, MaxR=30.45, Pheno={'G_SPECIALIST': 557, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,681 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=36.00: Cells=591, MaxR=30.79, Pheno={'G_SPECIALIST': 591, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,726 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=37.00: Cells=619, MaxR=32.08, Pheno={'G_SPECIALIST': 619, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,772 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=38.00: Cells=659, MaxR=32.08, Pheno={'G_SPECIALIST': 659, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,815 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=39.00: Cells=696, MaxR=33.18, Pheno={'G_SPECIALIST': 696, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,853 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2 - INFO - simulation_engine:218 - Progress: T=40.00, Cells=725
